ID,S Leitsatz 1,S Leitsatz 2,S Leitsatz 3,S Leitsatz 4,S Leitsatz 5,S Leitsatz 6,L Leitsatz 1,L Leitsatz 2,L Leitsatz 3,L Leitsatz 4,L Leitsatz 5,x,y,cluster
1027481903,-2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,-1.1302778278905898,-1.2269103379307362,1.0
326718290,-1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,-1.2162851422907386,-0.3245838054469064,1.0
1027431261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014505512994302,2.785489901840175,0.0
1498346645,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,-2.0390079849628706,-0.30727880616758124,1.0
1208613478,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.900084046757038,-0.8676904631848948,1.0
32438676,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-3.3916465291850075,-0.48687836131017953,1.0
1906005939,-2.0,1.0,-1.0,2.0,1.0,-1.0,2.0,1.0,2.0,-1.0,1.0,2.145354351237264,-0.41420727943381036,0.0
883501393,-1.0,-2.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.436100830062026,-1.6171905748854334,0.0
187857839,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,-3.3425040777191026,-0.2756212944088238,1.0
1941089299,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,-2.2395651358458144,0.7739930405988656,1.0
1106907569,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,2.0,2.0,-1.7794990945727205,2.590635921280335,1.0
1275832357,-2.0,2.0,1.0,1.0,2.0,1.0,2.0,-2.0,1.0,2.0,2.0,0.46018048601120387,0.4825884949872413,1.0
651404494,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.5908699074933543,1.3221216438024332,1.0
1426976855,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-3.3916465291850075,-0.48687836131017953,1.0
16314557,1.0,2.0,2.0,2.0,1.0,1.0,-1.0,2.0,2.0,1.0,2.0,-1.911519151663905,0.63006551674965,1.0
1208923321,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-3.3916465291850075,-0.48687836131017953,1.0
186576896,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,2.0,0.3081006249856234,0.5086883778997816,1.0
164504931,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,-2.6701016888391655,-0.1265772212868171,1.0
842846102,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.303378818922312,-0.8281627437033221,1.0
398080650,-1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,-1.2447233619408367,-1.540192446135985,1.0
1377663536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014505512994302,2.785489901840175,0.0
1530963979,2.0,-1.0,1.0,1.0,1.0,1.0,-1.0,2.0,-1.0,-2.0,0.0,0.8178360098063736,2.9339256652148635,1.0
1096581456,2.0,2.0,-1.0,2.0,2.0,1.0,-1.0,-1.0,2.0,2.0,1.0,-0.08177026528353828,1.9574793421691514,1.0
213156702,-1.0,-1.0,-1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.7937580627965883,-1.9644238519190613,0.0
283090242,-2.0,-2.0,-2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,4.271879181032589,-0.4356395711247928,0.0
554160714,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-3.033578508388638,0.2736248216519604,1.0
1087223831,2.0,-2.0,-1.0,2.0,2.0,2.0,2.0,-2.0,2.0,2.0,-1.0,1.7242046710377859,1.6105695192470681,1.0
1812029662,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.3525212703882166,-1.0394198106046781,1.0
361480051,2.0,2.0,2.0,2.0,0.0,2.0,-2.0,1.0,-1.0,0.0,0.0,-1.3370010249502184,3.670442626474915,1.0
1637568791,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,-2.0,2.0,2.0,2.0,-1.5806300418989532,2.726854478260349,1.0
1949189044,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,-2.6846063595323675,-0.4021025082106592,1.0
793573010,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,-3.2481630980999503,-0.061219282869748266,1.0
1644093079,-1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.3090752024870127,-2.140156341494855,1.0
180005290,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,-1.2659192061893099,-1.7536215682897387,1.0
1091199495,-1.0,-1.0,-1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.7207795963455845,-1.9054748889807183,0.0
1686745698,2.0,2.0,2.0,2.0,2.0,2.0,1.0,-2.0,2.0,2.0,-1.0,-1.764682660741783,3.09742503868811,1.0
465722307,-2.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.3684555015990645,1.3249189312880727,1.0
1752912022,-2.0,2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.7648545060021563,-2.6970441584881746,1.0
158396721,-2.0,-2.0,-1.0,2.0,1.0,1.0,-2.0,2.0,2.0,1.0,1.0,3.6052076665499655,-0.969296113279419,0.0
1003159960,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.900084046757038,-0.8676904631848948,1.0
1116962699,-2.0,-2.0,-2.0,-1.0,-1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.4276462516367574,-1.484306827997171,0.0
1355134476,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4805513420693857,2.7394437594073833,0.0
1578985238,1.0,1.0,-1.0,2.0,2.0,1.0,1.0,-2.0,2.0,1.0,-2.0,1.350729440083377,2.83979323141317,0.0
452062771,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,-2.4867220907227843,-0.24280577396975436,1.0
869275284,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,-1.6311430989620501,-0.7390405229049808,1.0
1870673006,-1.0,-1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0836811023529513,1.4432717362272787,0.0
1611678030,-1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,-1.0,1.0,1.0,-0.7424208387662777,1.043632463553791,1.0
1449359631,-2.0,2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,1.748759786468693,-0.4092067025803748,1.0
520867905,2.0,2.0,2.0,-1.0,2.0,-2.0,1.0,2.0,2.0,2.0,-1.0,-1.8350965984170944,2.532945073163309,1.0
