comment-id,timestamp,datetime,author-id,agrees,disagrees,moderated,comment-body,x,y,group_0,group_1
570,1518321381417,Sun Feb 11 10:56:21 WIB 2018,1107,1,0,-1,We need more affordable and safe housing and businesses who are willing to pay a fair wage that allows people to sustain themselves,-2.5861941912944997,-0.8880192011551747,0.14473262184844293,0.0608310723974791
569,1518318987051,Sun Feb 11 10:16:27 WIB 2018,1102,1,0,-1,Replace all the good old boys for a start!,-2.5227606767468207,-0.8816623784060751,1.5,0.6666666666666666
568,1518318965609,Sun Feb 11 10:16:05 WIB 2018,1103,1,0,-1,noise ordinances should be inforced.,-2.5239986491859114,-0.8366454666150962,0.6666666666666666,1.5
567,1518316226373,Sun Feb 11 09:30:26 WIB 2018,1099,121,21,1,"Whenever land is bought by the city/county, the seller and amount sold for needs to be transparent, rather than “LLC” as listed seller.",-2.522686770317559,-0.9673176540069951,1.8580372009979804,0.27070061221625724
566,1518316064255,Sun Feb 11 09:27:44 WIB 2018,1099,1,0,-1,Police need to ticket more for running red lights.,-2.512393027363842,-0.86411871515953,7.832171650997138e-06,0.10073888349708446
565,1518315984792,Sun Feb 11 09:26:24 WIB 2018,1099,47,20,1,"We need well planned service roads, instead of so many driveways directly on streets like Campbell Lane and the By pass.",-2.5413121914096672,-0.8911358884936633,1.3020784794905538,0.10317820829820713
564,1518315737843,Sun Feb 11 09:22:17 WIB 2018,1101,125,30,1,We should have a commuting service between here & Nashville.,-2.594692569534289,-0.8747726813548955,1.9204749114962525,0.2714840464799364
563,1518315278082,Sun Feb 11 09:14:38 WIB 2018,1069,85,30,1,Fireworks use in residential areas is out of control with no police presence to enforce the already in place restrictions.,-2.593151617905835,-0.875975240198472,0.6666666666666666,1.5
562,1518314903099,Sun Feb 11 09:08:23 WIB 2018,1086,1,0,-1,We need broadband in all warren county including Alvaton and Plano areas.,-2.5851399465567826,-0.8656299225221866,0.6666666666666666,1.5
561,1518313319866,Sun Feb 11 08:41:59 WIB 2018,1068,43,21,1,Parking  on both sides of the streets  in apartment subdivisions should  should not be allowed  and police need to enforce the law.,-2.5219535931419075,-0.8576790801943452,0.6666666666666666,1.5
560,1518313216931,Sun Feb 11 08:40:16 WIB 2018,1068,31,45,1,Parking in apartment subdivisions  should monitored closely by police. Parking on subdivision streets shouldn't be allowed.,-2.5944006885541686,-0.8747830389387896,1.192127657378747,0.22264102825206847
559,1518312371773,Sun Feb 11 08:26:11 WIB 2018,1066,1,0,-1,😊,-2.5220009222422126,-0.8288116680604878,2.3897389247738676,0.03506430201020155
558,1518312253790,Sun Feb 11 08:24:13 WIB 2018,1053,90,69,1,Owners of large parking lots should be required to break them up with pockets of green space and trees; perhaps create a walkable green path,-2.522737531058052,-0.8620944855248964,1.8603005655359852,0.2431697976864624
557,1518311643655,Sun Feb 11 08:14:03 WIB 2018,1063,92,24,1,Make Scott Waste follow their contract - Return trash cans next to the house and not leave them on the sidewalks.  Keep BG clean!,-2.5886938952258443,-0.8873925949876227,1.1556557843345947,0.004171958230248334
556,1518307981076,Sun Feb 11 07:13:01 WIB 2018,1050,1,0,-1,"Warren County and Bowling Green need to be a unified school district and not divide the community. Share resources, benefitting all kids",-2.5771656069403748,-0.878949300709142,1.349767592975308,0.4183256536991864
555,1518307823086,Sun Feb 11 07:10:23 WIB 2018,0,36,44,1,Schools should provide an opportunity for nonswimming parent/guardians to have water safety and swimming lessons in private setting.,-2.546815887174337,-0.7884760891113943,0.00034506110007434206,0.14592982086599818
554,1518307756119,Sun Feb 11 07:09:16 WIB 2018,0,77,41,1,Water safety and swim lessons to all k-12 students.,-2.5924568974463043,-0.8432162332766053,1.0,1.0
